Waktu,Sudut_Derajat,Jarak_cm,Koordinat_X,Koordinat_Y
22:53:29.214,5.0,147.6,147.04,12.86
22:53:29.214,50.0,196.8,126.5,150.76
22:53:29.214,95.0,151.6,-13.21,151.02
22:53:29.214,140.0,197.8,-151.52,127.14
22:53:29.214,185.0,150.6,-150.03,-13.13
22:53:29.214,230.0,197.8,-127.14,-151.52
22:53:29.214,275.0,147.6,12.86,-147.04
22:53:29.214,320.0,194.8,149.23,-125.22
22:53:29.834,9.0,151.9,150.03,23.76
22:53:29.834,54.0,185.4,108.98,149.99
22:53:29.834,99.0,150.9,-23.61,149.04
22:53:29.834,144.0,184.4,-149.18,108.39
22:53:29.834,189.0,151.9,-150.03,-23.76
22:53:29.834,234.0,183.4,-107.8,-148.37
22:53:29.834,279.0,153.9,24.08,-152.01
22:53:29.834,324.0,186.4,150.8,-109.56
22:53:30.457,18.0,159.7,151.88,49.35
22:53:30.457,63.0,166.3,75.5,148.17
22:53:30.457,108.0,155.7,-48.11,148.08
22:53:30.457,153.0,165.3,-147.28,75.04
22:53:30.457,198.0,155.7,-148.08,-48.11
22:53:30.457,243.0,171.3,-77.77,-152.63
22:53:30.457,288.0,160.7,49.66,-152.83
22:53:30.457,333.0,170.3,151.74,-77.31
22:53:31.079,27.0,165.3,147.28,75.04
22:53:31.079,72.0,155.7,48.11,148.08
22:53:31.079,117.0,170.3,-77.31,151.74
22:53:31.079,162.0,158.7,-150.93,49.04
22:53:31.079,207.0,171.3,-152.63,-77.77
22:53:31.079,252.0,159.7,-49.35,-151.88
22:53:31.079,297.0,167.3,75.95,-149.07
22:53:31.079,342.0,155.7,148.08,-48.11
22:53:31.701,36.0,185.4,149.99,108.98
22:53:31.701,81.0,148.9,23.29,147.07
22:53:31.701,126.0,188.4,-110.74,152.42
22:53:31.701,171.0,148.9,-147.07,23.29
22:53:31.701,216.0,183.4,-148.37,-107.8
22:53:31.701,261.0,150.9,-23.61,-149.04
22:53:31.701,306.0,184.4,108.39,-149.18
22:53:31.701,351.0,154.9,152.99,-24.23
22:53:32.322,45.0,211.1,149.27,149.27
22:53:32.322,90.0,148.0,0.0,148.0
22:53:32.322,135.0,211.1,-149.27,149.27
22:53:32.322,180.0,149.0,-149.0,0.0
22:53:32.322,225.0,210.1,-148.56,-148.56
22:53:32.322,270.0,147.0,-0.0,-147.0
22:53:32.322,315.0,215.1,152.1,-152.1
22:53:32.322,0.0,153.0,153.0,0.0
22:53:32.945,54.0,185.4,108.98,149.99
22:53:32.945,99.0,149.9,-23.45,148.05
22:53:32.945,144.0,184.4,-149.18,108.39
22:53:32.945,189.0,154.9,-152.99,-24.23
22:53:32.945,234.0,188.4,-110.74,-152.42
22:53:32.945,279.0,150.9,23.61,-149.04
22:53:32.945,324.0,183.4,148.37,-107.8
22:53:32.945,9.0,150.9,149.04,23.61
22:53:33.566,63.0,166.3,75.5,148.17
22:53:33.566,108.0,157.7,-48.73,149.98
22:53:33.566,153.0,169.3,-150.85,76.86
22:53:33.566,198.0,157.7,-149.98,-48.73
22:53:33.566,243.0,169.3,-76.86,-150.85
22:53:33.566,288.0,154.7,47.8,-147.13
22:53:33.566,333.0,165.3,147.28,-75.04
22:53:33.566,18.0,157.7,149.98,48.73
22:53:34.189,72.0,157.7,48.73,149.98
22:53:34.189,117.0,171.3,-77.77,152.63
22:53:34.189,162.0,156.7,-149.03,48.42
22:53:34.189,207.0,168.3,-149.96,-76.41
22:53:34.189,252.0,158.7,-49.04,-150.93
22:53:34.189,297.0,168.3,76.41,-149.96
22:53:34.189,342.0,160.7,152.83,-49.66
22:53:34.189,27.0,169.3,150.85,76.86
22:53:34.811,81.0,149.9,23.45,148.05
22:53:34.811,126.0,186.4,-109.56,150.8
22:53:34.811,171.0,151.9,-150.03,23.76
22:53:34.811,216.0,182.4,-147.56,-107.21
22:53:34.811,261.0,150.9,-23.61,-149.04
22:53:34.811,306.0,187.4,110.15,-151.61
22:53:34.811,351.0,150.9,149.04,-23.61
22:53:34.811,36.0,185.4,149.99,108.98
22:53:35.444,90.0,147.0,0.0,147.0
22:53:35.444,135.0,213.1,-150.68,150.68
22:53:35.444,180.0,149.0,-149.0,0.0
22:53:35.444,225.0,212.1,-149.98,-149.98
22:53:35.444,270.0,152.0,-0.0,-152.0
22:53:35.444,315.0,211.1,149.27,-149.27
