Waktu,Sudut_Derajat,Jarak_cm,Koordinat_X,Koordinat_Y
22:59:18.328,5.0,181.1,180.41,15.78
22:59:18.328,50.0,196.8,126.5,150.76
22:59:18.328,95.0,152.6,-13.3,152.02
22:59:18.328,140.0,235.4,-180.33,151.31
22:59:18.328,185.0,168.5,-167.86,-14.69
22:59:18.328,230.0,162.6,-104.52,-124.56
22:59:18.328,275.0,258.5,22.53,-257.52
22:59:18.328,320.0,153.3,117.43,-98.54
22:59:18.949,9.0,193.0,190.62,30.19
22:59:18.949,54.0,188.4,110.74,152.42
22:59:18.949,99.0,148.9,-23.29,147.07
22:59:18.949,144.0,254.2,-205.65,149.42
22:59:18.949,189.0,160.7,-158.72,-25.14
22:59:18.949,234.0,166.2,-97.69,-134.46
22:59:18.949,279.0,237.4,37.14,-234.48
22:59:18.949,324.0,152.8,123.62,-89.81
22:59:19.569,18.0,225.2,214.18,69.59
22:59:19.569,63.0,167.3,75.95,149.07
22:59:19.569,108.0,155.7,-48.11,148.08
22:59:19.569,153.0,275.4,-245.38,125.03
22:59:19.569,198.0,153.4,-145.89,-47.4
22:59:19.569,243.0,181.9,-82.58,-162.07
22:59:19.569,288.0,202.8,62.67,-192.87
22:59:19.569,333.0,150.2,133.83,-68.19
22:59:20.191,27.0,278.4,248.06,126.39
22:59:20.191,72.0,155.7,48.11,148.08
22:59:20.191,117.0,169.3,-76.86,150.85
22:59:20.191,162.0,226.2,-215.13,69.9
22:59:20.191,207.0,149.2,-132.94,-67.74
22:59:20.191,252.0,203.8,-62.98,-193.83
22:59:20.191,297.0,177.9,80.76,-158.51
22:59:20.191,342.0,155.4,147.79,-48.02
22:59:20.812,36.0,256.2,207.27,150.59
22:59:20.812,81.0,153.9,24.08,152.01
22:59:20.812,126.0,184.4,-108.39,149.18
22:59:20.812,171.0,190.0,-187.66,29.72
22:59:20.812,216.0,148.8,-120.38,-87.46
22:59:20.812,261.0,238.4,-37.29,-235.46
22:59:20.812,306.0,166.2,97.69,-134.46
22:59:20.812,351.0,159.7,157.73,-24.98
22:59:21.439,45.0,212.1,149.98,149.98
22:59:21.439,90.0,150.0,0.0,150.0
22:59:21.439,135.0,212.1,-149.98,149.98
22:59:21.439,180.0,170.2,-170.2,0.0
22:59:21.439,225.0,153.3,-108.4,-108.4
22:59:21.439,270.0,299.0,-0.0,-299.0
22:59:21.439,315.0,153.3,108.4,-108.4
22:59:21.439,0.0,175.2,175.2,0.0
22:59:22.072,54.0,184.4,108.39,149.18
22:59:22.072,99.0,154.9,-24.23,152.99
22:59:22.072,144.0,255.2,-206.46,150.0
22:59:22.072,189.0,157.7,-155.76,-24.67
22:59:22.072,234.0,161.2,-94.75,-130.41
22:59:22.072,279.0,240.4,37.61,-237.44
22:59:22.072,324.0,148.8,120.38,-87.46
22:59:22.072,9.0,196.0,193.59,30.66
22:59:22.679,63.0,168.3,76.41,149.96
22:59:22.679,108.0,160.7,-49.66,152.83
22:59:22.679,153.0,272.4,-242.71,123.67
22:59:22.679,198.0,154.4,-146.84,-47.71
22:59:22.679,243.0,177.9,-80.76,-158.51
22:59:22.679,288.0,198.8,61.43,-189.07
22:59:22.679,333.0,151.2,134.72,-68.64
22:59:22.679,18.0,224.2,213.23,69.28
22:59:23.323,72.0,156.7,48.42,149.03
22:59:23.323,117.0,166.3,-75.5,148.17
22:59:23.323,162.0,221.2,-210.37,68.35
22:59:23.323,207.0,150.2,-133.83,-68.19
22:59:23.323,252.0,202.8,-62.67,-192.87
22:59:23.323,297.0,181.9,82.58,-162.07
22:59:23.323,342.0,153.4,145.89,-47.4
22:59:23.323,27.0,272.4,242.71,123.67
22:59:23.940,81.0,150.9,23.61,149.04
22:59:23.940,126.0,187.4,-110.15,151.61
22:59:23.940,171.0,192.0,-189.64,30.04
22:59:23.940,216.0,150.8,-122.0,-88.64
22:59:23.940,261.0,235.4,-36.82,-232.5
22:59:23.940,306.0,161.2,94.75,-130.41
22:59:23.940,351.0,163.7,161.68,-25.61
22:59:23.940,36.0,253.2,204.84,148.83
22:59:24.554,90.0,149.0,0.0,149.0
22:59:24.554,135.0,211.1,-149.27,149.27
22:59:24.554,180.0,174.2,-174.2,0.0
22:59:24.554,225.0,157.3,-111.23,-111.23
22:59:24.554,270.0,299.0,-0.0,-299.0
22:59:24.554,315.0,157.3,111.23,-111.23
22:59:24.554,0.0,175.2,175.2,0.0
22:59:24.554,45.0,209.1,147.86,147.86
22:59:25.172,99.0,154.9,-24.23,152.99
22:59:25.172,144.0,258.2,-208.89,151.77
22:59:25.172,189.0,163.7,-161.68,-25.61
22:59:25.172,234.0,162.2,-95.34,-131.22
22:59:25.172,279.0,239.4,37.45,-236.45
22:59:25.172,324.0,148.8,120.38,-87.46
22:59:25.172,9.0,191.0,188.65,29.88
22:59:25.172,54.0,187.4,110.15,151.61
22:59:25.789,108.0,156.7,-48.42,149.03
22:59:25.789,153.0,273.4,-243.6,124.12
22:59:25.789,198.0,155.4,-147.79,-48.02
22:59:25.789,243.0,175.9,-79.86,-156.73
22:59:25.789,288.0,201.8,62.36,-191.92
22:59:25.789,333.0,151.2,134.72,-68.64
22:59:25.789,18.0,222.2,211.32,68.66
22:59:25.789,63.0,167.3,75.95,149.07
22:59:26.414,117.0,169.3,-76.86,150.85
22:59:26.414,162.0,224.2,-213.23,69.28
22:59:26.414,207.0,150.2,-133.83,-68.19
22:59:26.414,252.0,202.8,-62.67,-192.87
22:59:26.414,297.0,179.9,81.67,-160.29
22:59:26.414,342.0,154.4,146.84,-47.71
22:59:26.414,27.0,276.4,246.27,125.48
22:59:26.414,72.0,158.7,49.04,150.93
22:59:27.033,126.0,182.4,-107.21,147.56
22:59:27.033,171.0,195.0,-192.6,30.5
22:59:27.033,216.0,151.8,-122.81,-89.23
22:59:27.033,261.0,241.4,-37.76,-238.43
22:59:27.033,306.0,164.2,96.51,-132.84
22:59:27.033,351.0,159.7,157.73,-24.98
22:59:27.033,36.0,253.2,204.84,148.83
22:59:27.033,81.0,154.9,24.23,152.99
22:59:27.658,135.0,213.1,-150.68,150.68
22:59:27.658,180.0,171.2,-171.2,0.0
22:59:27.658,225.0,155.3,-109.81,-109.81
22:59:27.658,270.0,302.0,-0.0,-302.0
22:59:27.658,315.0,152.3,107.69,-107.69
22:59:27.658,0.0,175.2,175.2,0.0
22:59:27.658,45.0,214.1,151.39,151.39
22:59:27.658,90.0,149.0,0.0,149.0
22:59:28.303,144.0,258.2,-208.89,151.77
22:59:28.303,189.0,160.7,-158.72,-25.14
22:59:28.303,234.0,161.2,-94.75,-130.41
22:59:28.303,279.0,241.4,37.76,-238.43
22:59:28.303,324.0,148.8,120.38,-87.46
22:59:28.303,9.0,191.0,188.65,29.88
22:59:28.303,54.0,184.4,108.39,149.18
22:59:28.303,99.0,151.9,-23.76,150.03
22:59:28.910,153.0,272.4,-242.71,123.67
22:59:28.910,198.0,150.4,-143.04,-46.48
22:59:28.910,243.0,178.9,-81.22,-159.4
22:59:28.910,288.0,204.8,63.29,-194.78
22:59:28.910,333.0,151.2,134.72,-68.64
22:59:28.910,18.0,221.2,210.37,68.35
22:59:28.910,63.0,167.3,75.95,149.07
22:59:28.910,108.0,155.7,-48.11,148.08
22:59:29.521,162.0,224.2,-213.23,69.28
22:59:29.521,207.0,150.2,-133.83,-68.19
22:59:29.521,252.0,204.8,-63.29,-194.78
22:59:29.521,297.0,176.9,80.31,-157.62
22:59:29.521,342.0,152.4,144.94,-47.09
22:59:29.521,27.0,274.4,244.49,124.57
22:59:29.521,72.0,158.7,49.04,150.93
22:59:29.521,117.0,171.3,-77.77,152.63
22:59:30.156,171.0,194.0,-191.61,30.35
22:59:30.156,216.0,150.8,-122.0,-88.64
22:59:30.156,261.0,237.4,-37.14,-234.48
22:59:30.156,306.0,162.2,95.34,-131.22
22:59:30.156,351.0,158.7,156.75,-24.83
22:59:30.156,36.0,257.2,208.08,151.18
22:59:30.156,81.0,151.9,23.76,150.03
22:59:30.156,126.0,183.4,-107.8,148.37
22:59:30.775,180.0,170.2,-170.2,0.0
22:59:30.775,225.0,153.3,-108.4,-108.4
22:59:30.775,270.0,299.0,-0.0,-299.0
22:59:30.775,315.0,154.3,109.11,-109.11
22:59:30.775,0.0,172.2,172.2,0.0
22:59:30.775,45.0,212.1,149.98,149.98
22:59:30.775,90.0,150.0,0.0,150.0
22:59:30.775,135.0,212.1,-149.98,149.98
22:59:31.397,189.0,162.7,-160.7,-25.45
22:59:31.397,234.0,166.2,-97.69,-134.46
22:59:31.397,279.0,238.4,37.29,-235.46
22:59:31.397,324.0,152.8,123.62,-89.81
22:59:31.397,9.0,195.0,192.6,30.5
22:59:31.397,54.0,183.4,107.8,148.37
22:59:31.397,99.0,153.9,-24.08,152.01
22:59:31.397,144.0,257.2,-208.08,151.18
22:59:32.009,198.0,150.4,-143.04,-46.48
22:59:32.009,243.0,180.9,-82.13,-161.18
22:59:32.009,288.0,198.8,61.43,-189.07
22:59:32.009,333.0,149.2,132.94,-67.74
22:59:32.009,18.0,224.2,213.23,69.28
22:59:32.009,63.0,169.3,76.86,150.85
22:59:32.009,108.0,158.7,-49.04,150.93
22:59:32.009,153.0,273.4,-243.6,124.12
22:59:32.644,207.0,148.2,-132.05,-67.28
22:59:32.644,252.0,202.8,-62.67,-192.87
22:59:32.644,297.0,178.9,81.22,-159.4
22:59:32.644,342.0,154.4,146.84,-47.71
22:59:32.644,27.0,278.4,248.06,126.39
22:59:32.644,72.0,160.7,49.66,152.83
22:59:32.644,117.0,171.3,-77.77,152.63
22:59:32.644,162.0,221.2,-210.37,68.35
22:59:33.254,216.0,151.8,-122.81,-89.23
22:59:33.254,261.0,239.4,-37.45,-236.45
22:59:33.254,306.0,161.2,94.75,-130.41
22:59:33.254,351.0,159.7,157.73,-24.98
22:59:33.254,36.0,254.2,205.65,149.42
22:59:33.254,81.0,153.9,24.08,152.01
22:59:33.254,126.0,188.4,-110.74,152.42
22:59:33.254,171.0,195.0,-192.6,30.5
22:59:33.878,225.0,153.3,-108.4,-108.4
22:59:33.878,270.0,302.0,-0.0,-302.0
22:59:33.878,315.0,156.3,110.52,-110.52
22:59:33.878,0.0,174.2,174.2,0.0
22:59:33.878,45.0,214.1,151.39,151.39
22:59:33.878,90.0,151.0,0.0,151.0
22:59:33.878,135.0,214.1,-151.39,151.39
22:59:33.878,180.0,175.2,-175.2,0.0
22:59:34.504,234.0,167.2,-98.28,-135.27
22:59:34.504,279.0,239.4,37.45,-236.45
22:59:34.504,324.0,152.8,123.62,-89.81
22:59:34.504,9.0,196.0,193.59,30.66
22:59:34.504,54.0,185.4,108.98,149.99
22:59:34.504,99.0,152.9,-23.92,151.02
22:59:34.504,144.0,258.2,-208.89,151.77
22:59:34.504,189.0,158.7,-156.75,-24.83
22:59:35.121,243.0,180.9,-82.13,-161.18
