Waktu,Yaw_IMU,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17:16:55.473,0.0,16.8,16.1,19.9,20.9,48.9,49.7,61.8,0.0
17:16:55.699,-3.5,16.8,17.4,18.9,20.5,49.3,49.8,46.0,72.2
17:16:55.924,-7.4,14.4,45.1,19.3,22.2,48.7,50.5,61.8,58.2
17:16:56.144,-11.2,11.7,36.7,19.6,56.6,49.1,50.3,44.0,76.0
17:16:56.372,-15.2,12.3,46.1,18.3,56.5,48.5,52.7,42.6,73.5
17:16:56.595,-19.3,11.0,17.0,18.6,54.1,48.1,53.1,43.0,74.0
17:16:56.838,-22.9,11.3,25.1,18.6,52.1,48.5,50.4,43.8,95.2
17:16:57.051,-27.3,11.3,23.1,18.3,51.2,49.5,48.4,43.8,85.7
17:16:57.274,-31.3,11.3,21.5,19.3,50.5,48.7,48.3,43.4,114.5
17:16:57.492,-36.0,12.7,20.9,19.0,49.8,49.7,49.1,44.8,83.4
17:16:57.732,-40.5,16.4,20.5,19.9,49.7,49.3,48.4,0.0,16.4
17:16:57.972,-44.8,16.1,19.9,20.5,49.5,49.5,47.8,0.0,16.7
17:16:58.195,-49.4,29.5,20.2,21.2,49.3,50.2,44.4,84.3,16.1
17:16:58.438,-53.1,46.5,19.3,22.8,48.7,50.1,60.5,0.0,13.3
17:16:58.691,-57.6,46.1,19.6,56.7,49.5,50.8,43.6,0.0,12.3
17:16:58.910,-61.6,16.1,18.6,54.5,48.5,53.7,43.0,76.3,11.3
17:16:59.139,-67.3,16.8,18.6,54.1,48.5,51.4,43.0,124.7,11.3
17:16:59.361,-71.3,26.1,18.6,52.1,48.5,49.9,42.1,123.4,11.3
17:16:59.593,-75.8,22.6,19.6,50.9,49.1,49.3,42.5,123.3,12.7
17:16:59.815,-80.6,20.9,19.3,50.2,48.7,48.7,43.0,122.0,16.1
17:17:00.037,-84.4,20.3,20.2,49.5,49.3,47.3,43.6,84.1,16.4
17:17:00.264,-88.2,19.7,19.9,49.3,49.5,48.9,44.6,123.8,16.1
17:17:00.487,-92.1,19.0,20.6,49.1,49.7,43.7,67.9,16.0,18.3
17:17:00.717,-96.6,19.3,21.2,49.8,50.4,46.1,57.9,15.0,45.2
17:17:00.944,-100.7,19.7,57.0,48.9,51.1,43.3,70.3,14.0,45.2
17:17:01.162,-103.3,18.7,56.8,48.7,52.6,43.1,74.6,11.3,16.1
17:17:01.376,-106.6,18.7,54.8,48.3,52.9,43.0,69.1,11.6,16.7
17:17:01.600,-109.4,18.7,55.4,48.3,51.1,43.9,86.0,11.9,26.0
17:17:01.821,-114.3,18.7,52.5,48.3,50.4,41.7,67.6,11.9,23.4
17:17:02.050,-118.1,19.7,51.3,48.9,49.3,43.5,116.5,11.9,21.9
17:17:02.274,-122.0,19.3,50.6,48.5,50.0,43.5,91.7,13.3,20.3
17:17:02.494,-127.2,20.3,49.9,49.1,47.7,43.7,83.3,17.0,19.6
17:17:02.714,-131.1,20.0,49.7,49.7,49.3,45.1,17.1,16.7,19.9
17:17:02.929,-135.7,20.6,49.5,49.8,49.7,45.3,16.1,16.0,19.3
17:17:03.152,-139.6,22.2,48.9,50.5,46.5,58.9,16.4,18.3,19.6
17:17:03.380,-143.5,56.9,48.7,51.2,43.7,69.5,14.0,45.4,18.7
17:17:03.604,-148.5,56.3,48.3,50.7,43.1,67.8,11.3,16.7,18.7
17:17:03.825,-151.9,52.6,48.7,56.6,43.1,74.3,11.6,16.0,18.7
17:17:04.046,-156.7,51.8,48.7,50.2,43.9,70.6,12.0,26.2,18.6
17:17:04.267,-160.8,51.4,48.3,49.5,43.5,80.9,12.0,23.6,19.6
17:17:04.491,-165.3,50.2,48.7,48.9,43.5,69.1,11.6,21.1,19.3
17:17:04.748,-169.6,50.0,48.9,48.7,0.0,45.1,45.2,20.5,19.9
17:17:04.975,-175.3,49.3,49.5,47.7,0.0,17.1,16.7,20.2,20.6
17:17:05.210,-179.9,49.1,49.7,50.2,81.8,82.0,13.0,19.6,21.2
17:17:05.430,-185.0,48.5,50.4,43.7,81.7,16.8,45.4,19.9,21.5
17:17:05.671,-189.8,49.3,51.6,60.7,0.0,12.7,44.6,18.9,56.6
17:17:05.913,-195.2,48.3,51.9,42.4,0.0,11.3,16.4,18.9,54.6
17:17:06.145,-200.2,48.3,52.4,43.7,123.7,12.0,17.1,18.9,51.7
17:17:06.374,-205.4,48.3,257.5,43.1,83.5,12.0,16.1,18.9,50.8
17:17:06.608,-210.3,49.7,50.2,44.1,87.3,12.0,22.2,18.6,50.1
17:17:06.824,-215.4,48.9,49.7,43.3,83.7,16.8,20.6,19.6,49.8
17:17:07.045,-220.1,49.1,50.4,44.7,16.4,16.1,20.0,20.2,49.2
17:17:07.272,-224.3,49.7,62.0,58.0,17.0,13.4,19.6,20.8,49.0
17:17:07.520,-229.1,50.4,43.7,68.8,16.1,45.9,18.7,21.1,48.4
17:17:07.721,-232.5,50.2,62.9,58.6,13.7,38.6,19.0,22.7,48.8
17:17:07.936,-237.9,52.3,42.9,73.9,12.6,15.8,19.3,55.6,49.2
17:17:08.158,-242.0,51.8,44.1,73.5,11.6,15.1,19.3,55.2,48.6
17:17:08.383,-246.1,50.2,43.1,70.2,11.6,17.1,19.3,52.7,49.2
17:17:08.607,-249.7,48.7,42.2,67.3,12.0,21.6,19.0,50.6,48.4
17:17:08.874,-255.2,48.5,43.1,115.4,13.3,21.6,18.7,50.3,49.4
17:17:09.059,-259.9,47.9,44.1,95.4,16.7,20.9,19.6,49.6,49.9
17:17:09.300,-264.9,47.3,0.0,85.6,17.0,20.3,20.3,49.4,49.8
17:17:09.543,-269.1,48.5,0.0,16.4,18.0,19.7,20.9,49.3,49.9
17:17:09.768,-274.0,43.7,84.9,15.7,46.3,19.0,21.2,48.6,50.3
17:17:10.011,-278.8,43.9,0.0,13.3,45.5,19.0,56.7,49.0,51.5
17:17:10.241,-283.9,42.8,76.4,12.0,16.4,19.3,55.5,49.4,56.6
17:17:10.466,-288.5,43.2,75.2,10.9,16.1,19.3,53.4,49.4,51.0
17:17:10.686,-293.3,43.6,74.5,11.3,26.3,19.3,52.2,49.0,49.0
17:17:10.912,-297.7,41.9,122.8,12.6,21.8,19.0,51.0,48.7,49.8
17:17:11.142,-302.9,42.8,123.1,12.3,21.2,18.7,49.8,49.2,49.6
17:17:11.421,-306.8,45.1,96.2,16.4,19.6,19.7,49.6,49.8,49.0
17:17:11.609,-311.0,0.0,123.2,16.1,20.2,20.3,49.8,49.6,47.6
17:17:11.829,-316.1,83.7,17.0,16.7,19.6,20.6,49.2,50.3,60.7
17:17:12.052,-320.4,58.1,16.1,46.1,18.6,21.3,48.7,51.0,43.4
17:17:12.291,-325.5,74.3,13.7,45.7,18.9,56.6,49.1,51.3,43.8
17:17:12.530,-330.2,73.5,12.3,17.0,19.0,54.2,49.4,54.2,43.2
17:17:12.739,-335.2,72.4,11.3,23.0,19.0,51.6,49.5,52.2,42.3
17:17:12.957,-339.8,69.5,11.3,20.5,18.9,51.3,49.0,49.8,42.3
17:17:13.170,-344.9,86.7,13.0,21.5,19.9,50.1,48.7,50.0,43.1
17:17:13.393,-349.7,83.9,16.1,21.2,19.6,50.2,48.8,49.8,43.4
17:17:13.640,-354.2,16.1,16.7,20.5,20.2,49.5,49.4,50.1,0.0
17:17:13.860,-358.8,16.8,16.1,19.9,20.9,48.9,49.7,47.8,84.1
17:17:14.093,-363.4,15.8,45.5,19.3,22.5,48.7,50.4,58.7,75.7
