Waktu,Sudut_Servo,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17:10:07.796,12.2,64.2,32.6,19.2,26.8,29.5,58.1,67.3,84.1
17:10:07.999,15.9,70.9,32.5,18.0,26.5,28.1,57.6,66.8,82.8
17:10:08.204,19.5,71.6,33.1,20.5,27.1,27.5,61.9,67.7,81.5
17:10:08.410,23.2,72.3,32.8,19.6,29.9,26.9,64.7,68.1,80.4
17:10:08.617,26.9,73.0,33.3,19.6,36.6,26.4,65.3,67.1,70.6
17:10:08.823,30.7,74.2,33.6,19.6,42.8,25.8,67.1,67.2,70.3
17:10:09.031,34.4,91.2,34.6,19.2,42.2,26.6,66.4,67.3,70.0
17:10:09.241,38.1,91.7,36.6,21.5,20.9,26.1,67.1,68.8,70.8
17:10:09.447,41.9,91.0,58.6,21.2,30.7,26.1,80.0,68.1,68.9
17:10:09.655,45.6,80.2,61.4,19.2,31.7,25.8,80.1,67.8,67.3
17:10:09.864,49.4,80.5,70.7,29.9,29.7,26.3,43.2,70.2,67.2
17:10:10.079,53.1,88.1,71.4,31.7,18.6,26.9,29.5,73.3,67.5
17:10:10.280,56.8,86.3,72.1,31.0,21.2,27.5,27.5,70.1,67.9
17:10:10.490,60.6,83.8,72.8,32.0,18.9,29.5,26.9,71.7,67.3
17:10:10.692,64.3,81.7,74.4,32.5,20.2,34.0,26.3,79.7,66.5
17:10:10.901,68.0,71.0,91.6,34.1,20.2,42.1,25.7,79.4,67.1
17:10:11.109,71.8,69.7,92.1,34.4,19.9,22.6,26.0,79.7,67.1
17:10:11.319,75.5,90.3,92.2,35.9,20.9,19.0,26.0,79.8,57.3
17:10:11.526,79.3,69.4,92.4,58.7,27.7,30.6,26.6,80.3,69.2
17:10:11.736,83.1,67.9,92.6,61.9,19.6,19.3,25.7,80.5,68.9
17:10:11.942,86.8,67.3,90.3,70.4,29.4,19.0,26.3,30.9,69.2
17:10:12.149,90.5,67.2,89.4,71.0,32.0,17.7,26.9,28.5,56.9
17:10:12.356,94.2,67.5,90.6,72.2,31.7,20.6,28.1,27.4,57.4
17:10:12.566,98.0,67.7,83.3,73.4,32.3,18.0,30.0,26.8,79.2
17:10:12.773,101.7,66.9,84.3,75.4,33.3,19.3,41.6,26.2,79.9
17:10:12.982,105.4,66.5,89.6,91.6,33.6,19.0,40.4,26.5,79.0
17:10:13.190,109.2,66.6,89.3,91.8,36.8,20.3,20.0,25.6,79.9
17:10:13.399,113.0,67.2,117.6,83.2,36.4,20.9,30.3,26.5,80.0
17:10:13.606,116.8,67.8,68.8,80.5,60.0,17.7,29.5,26.5,80.1
17:10:13.812,120.5,57.7,67.4,80.1,63.2,29.3,28.4,26.2,42.5
17:10:14.019,124.2,57.7,67.2,89.1,71.1,32.4,18.7,27.6,29.7
17:10:14.226,127.9,56.8,67.9,84.1,71.8,31.6,20.3,27.9,27.7
17:10:14.432,131.6,57.0,67.8,81.6,72.2,32.2,19.3,29.9,28.3
17:10:14.643,135.4,71.0,67.8,82.2,73.4,32.4,20.6,30.2,26.9
17:10:14.848,139.1,73.2,66.9,70.5,75.9,33.5,20.3,41.6,26.3
17:10:15.057,142.8,76.5,67.3,70.1,92.0,35.0,19.9,43.0,26.3
17:10:15.267,146.6,79.9,67.5,108.7,92.0,37.9,19.6,29.9,26.3
17:10:15.486,150.4,80.0,69.1,69.3,92.7,58.5,28.7,29.6,26.3
17:10:15.683,154.2,79.7,68.3,67.5,80.7,59.7,17.4,20.5,26.9
17:10:15.889,157.9,43.4,69.1,67.3,80.7,70.7,22.5,19.8,26.9
17:10:16.107,161.6,33.7,80.3,67.6,83.9,71.3,31.6,18.6,27.2
17:10:16.307,165.3,28.7,80.5,67.9,85.7,72.5,32.1,19.2,28.6
17:10:16.513,169.1,27.2,80.0,67.3,84.5,73.2,33.2,18.9,31.0
17:10:16.732,172.8,27.8,80.3,66.9,81.3,75.8,33.4,20.2,41.3
17:10:16.928,176.5,26.9,79.8,66.6,70.5,91.4,34.5,19.8,40.2
17:10:17.140,180.0,26.4,79.1,67.5,90.5,91.1,36.0,19.9,44.5
17:10:17.358,180.0,26.3,79.5,67.9,90.9,91.1,36.0,21.1,44.6
17:10:17.564,180.0,26.3,79.9,67.6,91.0,91.1,36.0,19.9,44.6
17:10:17.772,180.0,26.3,79.5,67.6,103.1,91.5,36.0,21.1,44.6
17:10:17.983,180.0,26.3,79.5,67.6,91.4,91.1,36.1,21.1,44.6
17:10:18.194,180.0,26.3,79.5,67.2,90.5,91.1,36.0,19.9,44.6
17:10:18.406,176.4,26.3,79.5,67.6,91.0,91.5,36.0,19.8,42.7
17:10:18.615,172.8,26.3,79.5,67.0,70.8,91.8,34.5,20.2,41.8
17:10:18.823,169.2,26.3,79.9,67.0,70.2,91.5,33.4,20.2,30.8
17:10:19.030,165.6,26.9,79.9,66.9,85.4,74.2,33.2,18.9,29.2
17:10:19.237,162.1,27.5,78.7,68.3,83.6,73.1,32.7,19.2,26.9
17:10:19.442,158.5,29.0,80.1,67.9,83.9,71.5,19.6,18.6,27.5
17:10:19.650,155.0,29.3,79.4,67.2,84.3,70.8,21.2,19.8,26.9
17:10:19.867,151.4,43.8,69.1,67.3,81.2,60.2,29.8,20.5,26.3
17:10:20.065,147.9,80.2,70.1,67.5,80.8,58.7,18.7,29.6,26.3
17:10:20.276,144.3,80.0,68.2,69.0,92.6,58.8,20.9,29.9,26.3
17:10:20.482,140.8,80.0,67.6,79.5,92.0,36.1,20.0,45.2,26.3
17:10:20.692,137.2,79.1,67.5,70.1,91.9,34.5,20.3,41.6,26.9
17:10:20.899,133.6,79.0,66.5,70.8,75.0,32.9,19.3,31.4,26.6
17:10:21.105,130.0,80.3,67.4,81.7,73.4,32.7,19.3,29.9,27.2
17:10:21.313,126.5,80.5,67.8,81.7,72.1,32.2,21.6,27.9,28.6
17:10:21.518,122.9,59.1,67.9,83.7,71.4,31.1,17.4,27.6,30.3
17:10:21.724,119.4,56.8,67.9,84.6,71.1,22.9,21.3,27.1,42.9
17:10:21.932,115.9,57.7,67.8,80.9,61.0,18.7,22.8,27.1,79.7
17:10:22.139,112.3,57.2,68.3,80.1,59.0,22.9,31.1,26.5,79.6
17:10:22.350,108.8,67.6,70.2,82.8,38.5,20.9,18.7,25.6,79.9
17:10:22.558,105.2,67.5,90.2,91.8,35.1,19.0,36.5,26.5,79.5
17:10:22.770,101.6,67.0,89.2,91.2,34.4,20.6,41.6,26.2,79.5
17:10:22.978,98.0,66.5,96.9,91.6,33.3,19.3,35.8,26.8,79.6
17:10:23.186,94.4,66.9,84.2,72.9,33.0,19.3,29.0,27.3,58.3
17:10:23.391,90.9,67.5,90.1,71.8,31.2,19.0,27.5,28.5,56.9
17:10:23.597,87.3,68.0,90.2,71.0,32.0,17.7,27.2,30.9,70.0
17:10:23.812,83.8,67.7,89.8,70.4,22.7,20.9,26.6,80.9,68.8
17:10:24.016,80.2,67.9,81.8,60.1,29.1,30.0,26.6,80.3,68.2
17:10:24.226,76.6,68.4,92.5,59.2,20.5,29.8,26.0,80.2,57.3
17:10:24.436,73.0,108.3,92.2,37.5,20.9,20.0,26.0,79.7,67.0
17:10:24.645,69.4,70.5,92.1,35.1,19.9,36.1,25.7,79.6,66.9
17:10:24.854,65.8,70.9,91.6,33.6,20.2,41.7,26.3,80.1,66.9
17:10:25.062,62.2,83.8,74.4,32.5,18.9,42.8,26.9,79.8,67.8
17:10:25.268,58.7,82.5,72.8,31.5,20.2,28.4,27.5,57.5,67.5
17:10:25.475,55.1,86.3,71.6,30.4,18.6,26.9,28.7,80.1,67.2
17:10:25.683,51.6,88.1,70.9,31.7,19.9,26.4,43.2,70.1,67.3
17:10:25.892,48.0,80.5,70.7,29.4,20.2,25.8,80.0,69.0,67.9
17:10:26.100,44.4,80.2,60.0,23.0,31.5,26.1,79.8,68.3,69.4
17:10:26.310,40.9,91.4,59.4,21.2,30.5,26.1,76.5,67.4,91.1
17:10:26.521,37.3,91.3,36.2,19.2,43.0,26.6,79.3,66.8,70.2
17:10:26.731,33.7,91.2,34.1,19.6,43.9,25.8,74.4,67.1,70.1
17:10:26.940,30.1,74.6,33.1,19.6,36.2,26.4,76.5,67.1,80.8
17:10:27.145,26.5,72.5,32.8,19.6,29.9,26.9,71.5,68.1,82.9
17:10:27.351,23.0,71.8,32.3,20.5,27.1,29.3,58.1,68.1,84.1
17:10:27.555,19.4,71.1,32.5,18.0,26.8,30.0,56.6,67.4,80.9
17:10:27.761,15.9,70.3,32.5,29.4,27.1,36.3,57.5,67.1,79.7
17:10:27.968,12.4,59.4,19.3,30.2,27.1,51.9,57.5,68.2,81.0
17:10:28.174,8.8,58.2,23.3,30.4,26.5,56.9,68.0,69.6,83.3
17:10:28.387,5.3,36.8,20.2,20.5,26.5,73.5,67.4,119.5,91.7
17:10:28.596,1.7,34.7,19.6,41.9,27.1,75.8,66.9,70.8,91.2
17:10:28.802,0.0,33.2,20.9,32.3,26.2,71.8,67.1,70.6,91.6
17:10:29.012,0.0,32.7,19.9,41.5,27.1,74.0,66.7,70.6,91.6
17:10:29.221,0.0,32.7,19.9,41.5,26.2,79.3,66.7,70.6,91.6
17:10:29.429,0.0,32.7,19.9,41.5,26.2,71.3,66.7,70.7,91.6
17:10:29.639,0.0,32.7,19.9,41.5,26.2,71.3,66.7,70.7,91.6
17:10:29.848,0.0,32.7,19.9,42.6,26.2,71.8,67.1,70.7,91.6
17:10:30.068,3.8,32.7,19.9,41.5,26.2,70.0,67.1,70.2,91.6
17:10:30.267,7.5,33.2,20.9,41.5,26.2,78.8,66.9,89.1,91.6
17:10:30.477,11.3,34.2,19.6,42.4,26.5,79.4,67.4,117.8,91.7
17:10:30.684,15.1,36.3,21.5,20.5,26.5,80.2,68.0,69.2,80.6
17:10:30.893,18.8,58.7,23.3,29.9,26.5,53.6,57.1,68.1,80.6
17:10:31.099,22.6,59.4,19.2,20.9,26.2,43.2,57.1,67.1,80.9
17:10:31.305,26.3,63.5,23.0,20.5,26.8,30.0,56.6,67.3,84.5
17:10:31.507,30.0,71.0,33.1,17.9,27.4,28.1,57.2,67.6,82.4
17:10:31.713,33.6,71.8,32.3,20.9,28.6,26.9,70.7,67.5,80.4
17:10:31.926,37.3,73.0,33.3,18.3,42.8,26.3,79.7,67.1,70.6
17:10:32.130,41.1,74.2,33.6,19.6,41.7,25.8,78.9,67.2,70.2
17:10:32.340,44.8,91.6,35.1,19.2,42.6,26.1,79.7,67.8,89.8
17:10:32.559,48.6,91.7,38.0,21.5,30.4,26.1,79.8,68.3,69.5
17:10:32.758,52.4,81.1,59.6,23.0,31.5,26.7,80.4,69.8,67.5
17:10:32.963,56.1,80.1,63.3,29.4,20.2,26.7,45.0,58.6,67.3
17:10:33.207,59.8,80.9,70.8,21.8,18.6,27.3,30.0,60.5,68.0
17:10:33.383,63.5,84.9,71.5,31.7,18.6,27.5,28.1,79.8,67.5
17:10:33.583,67.3,83.3,72.3,31.5,19.2,29.0,26.9,79.4,67.3
17:10:33.802,71.0,80.0,74.0,32.5,20.2,34.0,26.3,79.3,66.5
17:10:33.999,74.7,70.5,91.6,33.6,20.2,42.1,25.7,79.6,66.9
17:10:34.205,78.4,70.1,92.1,34.4,19.9,21.2,26.6,79.7,67.5
17:10:34.424,82.2,90.3,92.2,35.9,20.5,19.0,26.0,80.6,57.3
17:10:34.624,86.0,69.9,92.5,58.7,22.4,30.0,26.6,80.7,67.9
17:10:34.835,89.7,67.5,81.3,60.7,19.6,20.9,26.6,81.0,69.0
17:10:35.056,93.5,67.6,89.4,70.5,32.0,17.7,27.2,29.1,58.6
17:10:35.248,97.2,68.0,89.8,71.2,31.2,19.0,27.5,27.9,80.1
17:10:35.458,101.0,67.9,89.7,72.4,33.0,19.3,27.8,27.4,74.3
17:10:35.667,104.7,66.9,84.6,74.0,32.8,19.3,37.9,27.0,71.4
17:10:35.877,108.5,66.5,90.0,91.6,33.0,20.6,42.5,27.0,79.0
17:10:36.086,112.2,67.0,88.4,91.7,35.9,19.0,20.9,25.6,79.1
17:10:36.298,116.0,67.6,117.2,82.9,38.0,20.9,29.5,25.6,79.6
17:10:36.502,119.8,67.7,69.8,80.6,59.0,17.7,29.5,26.5,80.6
17:10:36.712,123.5,57.7,67.8,80.1,63.6,29.3,28.3,26.2,36.9
17:10:36.926,127.2,57.2,67.2,89.0,71.1,32.4,18.7,27.6,29.7
17:10:37.124,130.9,56.8,67.9,85.4,71.5,31.6,21.6,27.9,27.8
17:10:37.331,134.7,57.0,67.8,82.1,72.6,32.2,19.3,29.9,27.5
17:10:37.538,138.4,71.9,67.2,82.2,73.9,32.4,20.6,41.2,26.0
17:10:37.743,142.1,79.5,66.9,70.8,91.4,34.0,20.3,36.1,26.3
17:10:37.952,145.9,79.9,67.8,86.8,91.5,35.5,20.0,22.1,26.3
17:10:38.161,149.6,79.5,68.1,71.2,92.1,58.4,21.9,29.3,26.3
17:10:38.369,153.4,79.6,68.2,68.4,80.4,58.7,17.4,20.2,26.3
